id,tag_name,created_at
1,sunset,"2024-06-28 21:50:11"
2,photography,"2024-06-28 21:50:11"
3,sunrise,"2024-06-28 21:50:11"
4,landscape,"2024-06-28 21:50:11"
5,food,"2024-06-28 21:50:11"
6,foodie,"2024-06-28 21:50:11"
7,delicious,"2024-06-28 21:50:11"
8,beauty,"2024-06-28 21:50:11"
9,stunning,"2024-06-28 21:50:11"
10,dreamy,"2024-06-28 21:50:11"
11,lol,"2024-06-28 21:50:11"
12,happy,"2024-06-28 21:50:11"
13,fun,"2024-06-28 21:50:11"
14,style,"2024-06-28 21:50:11"
15,hair,"2024-06-28 21:50:11"
16,fashion,"2024-06-28 21:50:11"
17,party,"2024-06-28 21:50:11"
18,concert,"2024-06-28 21:50:11"
19,drunk,"2024-06-28 21:50:11"
20,beach,"2024-06-28 21:50:11"
21,smile,"2024-06-28 21:50:11"
